"","calls.Strike","calls.Last","calls.Chg","calls.Bid","calls.Ask","calls.Vol","calls.OI","calls.LastTradeTime","calls.IV","calls.ITM","puts.Strike","puts.Last","puts.Chg","puts.Bid","puts.Ask","puts.Vol","puts.OI","puts.LastTradeTime","puts.IV","puts.ITM"
"GME210326C00350000",350,0.58,0,0,0,2670,2943,2021-03-25 15:59:59,0.500005,FALSE,350,227.18,0,0,0,3,17,2021-03-25 09:30:05,1e-05,TRUE
"GME210326C00360000",360,0.5,0,0,0,694,3263,2021-03-25 15:59:37,0.500005,FALSE,360,178.8,0,0,0,1,8,2021-03-25 15:47:49,1e-05,TRUE
"GME210326C00365000",365,0.53,0,0,0,150,167,2021-03-25 15:58:43,0.500005,FALSE,365,243.55,0,0,0,2,6,2021-03-12 13:24:45,1e-05,TRUE
"GME210326C00370000",370,0.5,0,0,0,181,889,2021-03-25 15:56:42,0.500005,FALSE,370,190.4,0,0,0,9,18,2021-03-25 15:07:07,1e-05,TRUE
"GME210326C00375000",375,0.5,0,0,0,196,977,2021-03-25 15:59:04,0.500005,FALSE,375,189.35,0,0,0,1,9,2021-03-22 12:50:49,1e-05,TRUE
"GME210326C00380000",380,0.45,0,0,0,267,447,2021-03-25 15:57:54,0.500005,FALSE,380,233.8,0,0,0,2,15,2021-03-23 09:49:38,1e-05,TRUE
"GME210326C00385000",385,0.45,0,0,0,249,197,2021-03-25 15:55:56,0.500005,FALSE,385,262.7,0,0,0,5,6,2021-03-22 12:49:05,1e-05,TRUE
"GME210326C00390000",390,0.45,0,0,0,165,396,2021-03-25 15:44:53,0.500005,FALSE,390,266.4,0,0,0,7,19,2021-03-24 15:36:38,1e-05,TRUE
"GME210326C00395000",395,0.42,0,0,0,107,303,2021-03-25 15:59:31,0.500005,FALSE,395,213.65,0,0,0,1,28,2021-03-25 15:47:49,1e-05,TRUE
"GME210326C00400000",400,0.2,0,0,0,3809,6103,2021-03-25 15:59:59,0.500005,FALSE,400,216.1,0,0,0,17,44,2021-03-25 15:59:59,1e-05,TRUE
"GME210326C00405000",405,0.41,0,0,0,155,394,2021-03-25 15:55:47,0.500005,FALSE,405,245.7,0,0,0,2,15,2021-03-25 13:56:38,1e-05,TRUE
"GME210326C00410000",410,0.41,0,0,0,147,908,2021-03-25 15:56:01,0.500005,FALSE,410,250.65,0,0,0,2,15,2021-03-25 13:56:38,1e-05,TRUE
"GME210326C00415000",415,0.37,0,0,0,56,302,2021-03-25 15:57:04,0.500005,FALSE,415,267.25,0,0,0,1,8,2021-03-24 09:53:13,1e-05,TRUE
"GME210326C00420000",420,0.25,0,0,0,958,1047,2021-03-25 15:59:35,0.500005,FALSE,420,259.8,0,0,0,1,23,2021-03-25 12:23:40,1e-05,TRUE
"GME210326C00425000",425,0.38,0,0,0,69,252,2021-03-25 15:42:08,0.500005,FALSE,425,277.25,0,0,0,1,20,2021-03-24 09:53:13,1e-05,TRUE
"GME210326C00430000",430,0.35,0,0,0,58,284,2021-03-25 15:58:50,0.500005,FALSE,430,251.55,0,0,0,8,6,2021-03-25 15:30:50,1e-05,TRUE
"GME210326C00435000",435,0.31,0,0,0,64,77,2021-03-25 15:03:04,0.500005,FALSE,435,264.45,0,0,0,3,33,2021-03-25 09:58:37,1e-05,TRUE
"GME210326C00440000",440,0.26,0,0,0,176,290,2021-03-25 15:59:36,0.500005,FALSE,440,255.35,0,0,0,2,15,2021-03-25 15:57:49,1e-05,TRUE
"GME210326C00445000",445,0.33,0,0,0,58,158,2021-03-25 15:53:02,0.500005,FALSE,445,266.45,0,0,0,4,22,2021-03-25 13:52:37,1e-05,TRUE
"GME210326C00450000",450,0.11,0,0,0,245,801,2021-03-25 15:59:28,0.500005,FALSE,450,267.8,0,0,0,2,27,2021-03-25 14:56:45,1e-05,TRUE
"GME210326C00455000",455,0.25,0,0,0,35,198,2021-03-25 15:48:56,0.500005,FALSE,455,281.15,0,0,0,10,75,2021-03-25 13:15:41,1e-05,TRUE
"GME210326C00460000",460,0.26,0,0,0,79,277,2021-03-25 15:56:29,0.500005,FALSE,460,277.8,0,0,0,8,19,2021-03-25 14:56:45,1e-05,TRUE
"GME210326C00465000",465,0.25,0,0,0,31,56,2021-03-25 15:57:53,0.500005,FALSE,465,280.3,0,0,0,5,78,2021-03-25 15:57:49,1e-05,TRUE
"GME210326C00470000",470,0.28,0,0,0,34,115,2021-03-25 15:58:43,0.500005,FALSE,470,303.7,0,0,0,5,16,2021-03-25 13:15:41,1e-05,TRUE
"GME210326C00475000",475,0.27,0,0,0,183,190,2021-03-25 15:48:13,0.500005,FALSE,475,316.65,0,0,0,2,14,2021-03-24 09:41:32,1e-05,TRUE
"GME210326C00480000",480,0.25,0,0,0,87,235,2021-03-25 15:44:29,0.500005,FALSE,480,309,0,0,0,6,7,2021-03-25 13:39:36,1e-05,TRUE
"GME210326C00485000",485,0.2,0,0,0,47,185,2021-03-25 15:52:27,0.500005,FALSE,485,326.65,0,0,0,1,24,2021-03-18 10:59:32,1e-05,TRUE
"GME210326C00490000",490,0.24,0,0,0,208,530,2021-03-25 15:59:31,0.500005,FALSE,490,310.25,0,0,0,3,30,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00500000",500,0.15,0,0,0,1700,3005,2021-03-25 15:58:19,0.500005,FALSE,500,320.2,0,0,0,18,111,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00510000",510,0.26,0,0,0,131,157,2021-03-25 14:20:01,0.500005,FALSE,510,339.6,0,0,0,5,5,2021-03-25 14:48:46,1e-05,TRUE
"GME210326C00520000",520,0.2,0,0,0,206,475,2021-03-25 15:54:34,0.500005,FALSE,520,357.9,0,0,0,6,21,2021-03-25 13:00:16,1e-05,TRUE
"GME210326C00530000",530,0.18,0,0,0,135,206,2021-03-25 15:58:33,0.500005,FALSE,530,350.2,0,0,0,19,38,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00540000",540,0.19,0,0,0,58,292,2021-03-25 15:51:01,0.500005,FALSE,540,411.05,0,0,0,5,25,2021-03-23 11:32:25,1e-05,TRUE
"GME210326C00550000",550,0.13,0,0,0,376,1323,2021-03-25 15:57:48,0.500005,FALSE,550,370.2,0,0,0,18,85,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00560000",560,0.19,0,0,0,84,154,2021-03-25 15:29:29,0.500005,FALSE,560,378,0,0,0,12,113,2021-03-25 14:59:02,1e-05,TRUE
"GME210326C00570000",570,0.2,0,0,0,119,170,2021-03-25 15:06:29,0.500005,FALSE,570,388,0,0,0,7,16,2021-03-25 14:59:02,1e-05,TRUE
"GME210326C00580000",580,0.11,0,0,0,70,289,2021-03-25 15:54:31,0.500005,FALSE,580,400.2,0,0,0,10,37,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00590000",590,0.15,0,0,0,196,231,2021-03-25 15:37:38,0.500005,FALSE,590,410.2,0,0,0,22,32,2021-03-25 14:57:54,1e-05,TRUE
"GME210326C00600000",600,0.13,0,0,0,937,2313,2021-03-25 15:59:33,0.500005,FALSE,600,426.65,0,0,0,10,20,2021-03-25 14:52:43,1e-05,TRUE
"GME210326C00610000",610,0.12,0,0,0,192,282,2021-03-25 15:59:39,0.500005,FALSE,610,475.05,0,0,0,1,12,2021-03-19 09:44:02,1e-05,TRUE
"GME210326C00620000",620,0.13,0,0,0,118,230,2021-03-25 15:56:19,0.500005,FALSE,620,486.55,0,0,0,3,7,2021-03-25 10:17:15,1e-05,TRUE
"GME210326C00630000",630,0.14,0,0,0,62,149,2021-03-25 15:47:49,0.500005,FALSE,630,458.5,0,0,0,1,18,2021-03-25 13:15:41,1e-05,TRUE
"GME210326C00640000",640,0.13,0,0,0,73,158,2021-03-25 15:53:06,0.500005,FALSE,640,511.45,0,0,0,2,11,2021-03-19 12:28:03,1e-05,TRUE
"GME210326C00650000",650,0.09,0,0,0,286,763,2021-03-25 15:59:29,0.500005,FALSE,650,473.35,0,0,0,1,32,2021-03-18 10:59:35,1e-05,TRUE
"GME210326C00660000",660,0.1,0,0,0,151,254,2021-03-25 15:58:22,0.500005,FALSE,660,480.4,0,0,0,2,25,2021-03-25 10:17:15,1e-05,TRUE
"GME210326C00670000",670,0.1,0,0,0,143,282,2021-03-25 15:54:49,0.500005,FALSE,670,525.1,0,0,0,3,38,2021-03-23 12:45:15,1e-05,TRUE
"GME210326C00680000",680,0.08,0,0,0,771,1696,2021-03-25 15:58:54,0.500005,FALSE,680,522.27,0,0,0,3,50,2021-03-25 12:55:25,1e-05,TRUE
"GME210326C00690000",690,0.09,0,0,0,29536,26194,2021-03-25 15:59:54,0.500005,FALSE,690,532.26,0,0,0,7,70,2021-03-25 12:55:25,1e-05,TRUE
